k,ma_filter,ma_exit,avg_sharpe,avg_cagr,avg_mdd,ew_sharpe,ew_mdd
0.5000,20,3,1.5549,1.0604,-0.2809,2.0876,-0.2579
0.6000,20,3,1.5553,1.0292,-0.2919,2.0842,-0.2376
0.6000,30,3,1.5711,1.1025,-0.2472,2.0802,-0.1877
0.8000,30,3,1.5468,0.9578,-0.1868,2.0509,-0.1693
0.7000,20,3,1.5299,0.9622,-0.2822,2.0453,-0.2151
0.5000,30,3,1.5314,1.1036,-0.2394,2.0451,-0.1969
0.7000,30,3,1.5372,0.9737,-0.2604,2.0369,-0.2259
0.7000,10,3,1.5041,0.9584,-0.2733,2.0200,-0.2179
0.8000,20,3,1.5104,0.9159,-0.2170,2.0194,-0.1781
0.8000,10,3,1.4903,0.9144,-0.2882,1.9974,-0.1715
0.6000,10,3,1.4633,0.9657,-0.2729,1.9660,-0.2430
0.4000,30,3,1.4562,1.0645,-0.2974,1.9456,-0.2574
0.4000,20,3,1.4488,0.9965,-0.3237,1.9447,-0.2983
0.5000,10,3,1.4169,0.9450,-0.3171,1.9002,-0.2660
0.5000,20,5,1.3997,1.0712,-0.2018,1.8936,-0.1479
0.8000,30,5,1.3589,0.9637,-0.2229,1.8805,-0.1881
0.5000,30,5,1.3729,1.0968,-0.2129,1.8750,-0.1508
0.8000,50,3,1.4267,0.8786,-0.2781,1.8673,-0.1952
0.4000,30,5,1.3681,1.1197,-0.2099,1.8669,-0.1634
0.6000,30,5,1.3632,1.0634,-0.2276,1.8644,-0.1870
0.6000,20,5,1.3728,1.0178,-0.2463,1.8617,-0.1731
0.8000,20,5,1.3522,0.9376,-0.2545,1.8587,-0.2099
0.7000,50,3,1.4098,0.8934,-0.3710,1.8586,-0.3128
0.7000,20,5,1.3547,0.9700,-0.2574,1.8572,-0.1848
0.4000,20,5,1.3732,1.0654,-0.2348,1.8549,-0.1529
0.7000,30,5,1.3391,0.9637,-0.2267,1.8465,-0.1633
0.4000,10,3,1.3821,0.9461,-0.3337,1.8441,-0.2976
0.6000,50,3,1.3898,0.9129,-0.3606,1.8397,-0.2871
0.3000,30,3,1.3398,0.9548,-0.3412,1.7815,-0.2853
0.8000,60,3,1.3512,0.7941,-0.3034,1.7762,-0.1922
0.8000,50,5,1.2774,0.8868,-0.2650,1.7730,-0.2069
0.6000,60,3,1.3269,0.8406,-0.3582,1.7671,-0.2565
0.3000,20,3,1.3150,0.8797,-0.3561,1.7618,-0.3013
0.8000,10,5,1.2782,0.8741,-0.3318,1.7561,-0.2089
0.3000,30,5,1.2886,1.0239,-0.2863,1.7502,-0.1880
0.8000,70,3,1.3466,0.7990,-0.3238,1.7459,-0.2615
0.7000,10,5,1.2782,0.9020,-0.3011,1.7458,-0.1834
0.5000,50,3,1.3082,0.8581,-0.3813,1.7379,-0.3506
0.3000,10,3,1.2947,0.8832,-0.3746,1.7313,-0.3112
0.6000,10,5,1.2789,0.9316,-0.2996,1.7307,-0.1719
0.7000,60,3,1.3016,0.7817,-0.4050,1.7253,-0.3308
0.3000,20,5,1.2817,0.9629,-0.2817,1.7206,-0.2030
0.4000,50,3,1.2914,0.8732,-0.4043,1.7165,-0.3598
0.7000,50,5,1.2363,0.8691,-0.3264,1.7111,-0.2406
0.8000,80,3,1.2927,0.7343,-0.2587,1.7098,-0.2079
0.6000,70,3,1.3005,0.8243,-0.4159,1.7082,-0.3853
0.7000,70,3,1.3005,0.7900,-0.4375,1.7005,-0.4129
0.5000,10,5,1.2574,0.9246,-0.3148,1.6938,-0.2419
0.5000,60,3,1.2648,0.8067,-0.3461,1.6918,-0.2787
0.8000,60,5,1.2260,0.7802,-0.2928,1.6866,-0.2104
0.7000,80,3,1.2609,0.7360,-0.3380,1.6840,-0.2926
0.4000,10,5,1.2485,0.9348,-0.3040,1.6729,-0.2947
0.6000,50,5,1.2149,0.8713,-0.3352,1.6640,-0.3123
0.4000,60,3,1.2429,0.8107,-0.4060,1.6628,-0.3463
0.6000,80,3,1.2367,0.7480,-0.3384,1.6596,-0.2934
0.3000,10,5,1.2373,0.9371,-0.2905,1.6554,-0.2580
0.8000,70,5,1.2048,0.7366,-0.3060,1.6546,-0.2333
0.6000,30,10,1.2650,1.1245,-0.2346,1.6424,-0.1652
0.5000,30,10,1.2614,1.1379,-0.2148,1.6407,-0.1649
0.4000,50,5,1.1996,0.8869,-0.4052,1.6373,-0.4009
0.5000,20,10,1.2740,1.0607,-0.2216,1.6369,-0.1463
0.4000,30,10,1.2561,1.1506,-0.2298,1.6321,-0.1709
0.6000,20,10,1.2706,1.0408,-0.2538,1.6305,-0.1510
0.5000,70,3,1.2421,0.7898,-0.3978,1.6295,-0.3461
0.4000,70,3,1.2440,0.8125,-0.4639,1.6288,-0.4272
0.3000,50,3,1.2314,0.8227,-0.4924,1.6220,-0.4662
0.5000,50,5,1.1731,0.8367,-0.4145,1.6032,-0.4080
0.4000,20,10,1.2477,1.0482,-0.2594,1.6031,-0.2195
0.5000,80,3,1.1903,0.7305,-0.3197,1.6012,-0.2675
0.7000,20,10,1.2451,0.9882,-0.2319,1.5984,-0.1321
0.4000,80,3,1.1915,0.7478,-0.4114,1.5980,-0.4008
0.6000,60,5,1.1731,0.7831,-0.3397,1.5965,-0.2309
0.7000,60,5,1.1636,0.7475,-0.3549,1.5952,-0.2707
0.6000,10,10,1.2238,1.0177,-0.3362,1.5788,-0.2259
0.8000,20,10,1.2274,0.9314,-0.2312,1.5785,-0.1200
0.4000,70,5,1.1573,0.7880,-0.3826,1.5768,-0.3358
0.3000,70,5,1.1660,0.8014,-0.3922,1.5736,-0.3223
0.3000,50,5,1.1582,0.8464,-0.4924,1.5712,-0.4783
0.4000,60,5,1.1575,0.7989,-0.3384,1.5694,-0.2829
0.7000,70,5,1.1407,0.7059,-0.4126,1.5679,-0.3542
0.7000,30,10,1.2146,0.9945,-0.2724,1.5677,-0.1463
0.5000,60,5,1.1507,0.7739,-0.3415,1.5622,-0.2892
0.3000,60,3,1.1822,0.7549,-0.4975,1.5621,-0.4150
0.8000,80,5,1.1391,0.6568,-0.3157,1.5569,-0.2181
0.6000,70,5,1.1386,0.7316,-0.3681,1.5551,-0.3206
0.3000,60,5,1.1516,0.8018,-0.3965,1.5508,-0.3321
0.8000,30,10,1.1986,0.9476,-0.2104,1.5500,-0.1662
0.8000,10,10,1.1921,0.9237,-0.3465,1.5457,-0.2432
0.7000,10,10,1.1961,0.9537,-0.3715,1.5398,-0.2518
0.5000,10,10,1.1874,0.9788,-0.3005,1.5358,-0.2246
0.5000,70,5,1.1246,0.7277,-0.3370,1.5276,-0.2901
0.4000,10,10,1.1765,0.9841,-0.2755,1.5201,-0.2359
0.3000,70,3,1.1774,0.7372,-0.5269,1.5168,-0.4215
0.3000,30,10,1.1681,1.0213,-0.3097,1.5133,-0.2183
0.7000,50,10,1.1752,0.9541,-0.2517,1.5095,-0.2292
0.4000,80,5,1.1169,0.7186,-0.3393,1.5095,-0.3164
0.7000,80,5,1.1057,0.6514,-0.3329,1.5087,-0.2974
0.3000,80,5,1.1232,0.7306,-0.3724,1.5080,-0.3298
0.3000,80,3,1.1376,0.6860,-0.4916,1.5072,-0.4126
0.8000,50,10,1.1657,0.9208,-0.2257,1.5047,-0.2105
0.3000,20,10,1.1730,0.9541,-0.3801,1.5033,-0.3570
0.3000,10,10,1.1634,0.9777,-0.2923,1.5019,-0.2511
0.4000,50,10,1.1544,0.9780,-0.3493,1.4822,-0.3292
0.6000,50,10,1.1513,0.9415,-0.3053,1.4769,-0.2976
0.6000,80,5,1.0865,0.6567,-0.3268,1.4706,-0.2792
0.4000,60,10,1.1536,0.8884,-0.2998,1.4619,-0.2374
0.8000,60,10,1.1489,0.8052,-0.2727,1.4597,-0.2510
0.5000,80,5,1.0798,0.6619,-0.2977,1.4562,-0.2396
0.6000,60,10,1.1503,0.8500,-0.2970,1.4556,-0.2477
0.5000,50,10,1.1254,0.9197,-0.3589,1.4437,-0.3233
0.7000,60,10,1.1410,0.8194,-0.2955,1.4436,-0.2118
0.8000,70,10,1.1236,0.7650,-0.2672,1.4238,-0.2632
0.5000,60,10,1.1223,0.8294,-0.3073,1.4198,-0.2385
0.4000,70,10,1.1119,0.8262,-0.3651,1.4095,-0.3275
0.3000,60,10,1.1162,0.8463,-0.3958,1.4088,-0.3618
0.6000,70,10,1.1106,0.7914,-0.3139,1.4058,-0.2656
0.7000,70,10,1.1103,0.7725,-0.3225,1.4032,-0.2776
0.3000,50,10,1.0754,0.8723,-0.4850,1.3813,-0.4536
0.5000,70,10,1.0927,0.7813,-0.3121,1.3801,-0.2792
0.3000,70,10,1.0947,0.8014,-0.4368,1.3762,-0.4025
0.4000,80,10,1.0877,0.7729,-0.3246,1.3678,-0.2945
0.7000,80,10,1.0845,0.7186,-0.2564,1.3581,-0.2467
0.8000,80,10,1.0734,0.6898,-0.2603,1.3495,-0.2252
0.6000,80,10,1.0727,0.7220,-0.2978,1.3457,-0.2246
0.3000,80,10,1.0719,0.7551,-0.4170,1.3424,-0.3839
0.5000,80,10,1.0677,0.7311,-0.2883,1.3387,-0.2469
