k,ma_filter,ma_exit,avg_sharpe,med_sharpe,min_sharpe,avg_cagr,avg_mdd,ew_sharpe,ew_mdd
0.6000,60.0000,3.0000,1.0192,0.9074,0.7096,0.7790,-0.4801,1.6232,-0.2308
0.8000,50.0000,5.0000,0.9830,0.8957,0.7342,0.7788,-0.3992,1.6205,-0.1791
0.8000,60.0000,3.0000,1.0284,0.9197,0.7545,0.7506,-0.4395,1.6103,-0.2033
0.8000,50.0000,3.0000,1.0701,0.9430,0.8201,0.7894,-0.4343,1.6035,-0.1680
0.6000,50.0000,3.0000,1.0593,0.9810,0.7959,0.8211,-0.4610,1.5933,-0.2176
0.8000,80.0000,3.0000,1.0053,1.0193,0.6382,0.6606,-0.4221,1.5899,-0.1793
0.6000,50.0000,5.0000,0.9533,0.8897,0.7977,0.7778,-0.4326,1.5844,-0.2165
0.5000,10.0000,3.0000,1.0850,0.9723,0.8087,0.9870,-0.4266,1.5813,-0.2121
0.6000,80.0000,3.0000,0.9819,0.9341,0.6475,0.6680,-0.4508,1.5654,-0.2128
0.7000,50.0000,3.0000,1.0562,0.9557,0.8219,0.7941,-0.4600,1.5641,-0.1782
0.8000,60.0000,5.0000,0.9333,0.8910,0.7326,0.7074,-0.4216,1.5625,-0.2140
0.7000,60.0000,3.0000,1.0072,0.9032,0.7457,0.7431,-0.4833,1.5581,-0.2037
0.8000,30.0000,5.0000,0.9771,0.8586,0.7187,0.8905,-0.3717,1.5580,-0.2294
0.5000,60.0000,3.0000,0.9792,0.9208,0.6643,0.7227,-0.5086,1.5579,-0.2610
0.6000,60.0000,5.0000,0.9070,0.8596,0.6842,0.7127,-0.4645,1.5549,-0.2298
0.5000,80.0000,3.0000,0.9675,0.9476,0.6804,0.6602,-0.4768,1.5540,-0.2361
0.8000,70.0000,3.0000,1.0027,0.9300,0.6626,0.6734,-0.4484,1.5534,-0.2017
0.5000,50.0000,3.0000,1.0227,0.9878,0.7393,0.7847,-0.4822,1.5499,-0.2463
0.7000,10.0000,3.0000,1.0864,0.9289,0.8120,0.9129,-0.4104,1.5484,-0.1898
0.7000,50.0000,5.0000,0.9543,0.8659,0.7565,0.7546,-0.4322,1.5475,-0.1832
0.8000,30.0000,3.0000,1.0882,0.9644,0.7753,0.8993,-0.3885,1.5469,-0.2058
0.8000,10.0000,3.0000,1.0873,1.0201,0.7725,0.8884,-0.4220,1.5446,-0.1828
0.6000,30.0000,3.0000,1.0981,0.9495,0.7573,0.9653,-0.3716,1.5445,-0.2125
0.5000,50.0000,5.0000,0.9206,0.8612,0.7390,0.7472,-0.4764,1.5426,-0.2385
0.7000,80.0000,3.0000,0.9843,0.9576,0.6626,0.6566,-0.4268,1.5422,-0.1724
0.6000,30.0000,5.0000,0.9805,0.8825,0.7590,0.9379,-0.3674,1.5387,-0.2462
0.5000,20.0000,3.0000,1.1021,1.0083,0.7398,0.9623,-0.4051,1.5271,-0.2115
0.6000,70.0000,3.0000,0.9681,0.9042,0.6061,0.6743,-0.4982,1.5246,-0.2304
0.5000,20.0000,5.0000,0.9938,0.9325,0.7004,0.9372,-0.4166,1.5245,-0.2367
0.6000,20.0000,5.0000,0.9858,0.8939,0.7177,0.9194,-0.4192,1.5218,-0.1983
0.5000,60.0000,5.0000,0.8859,0.8211,0.7073,0.6806,-0.4774,1.5085,-0.2535
0.6000,20.0000,3.0000,1.0867,0.9973,0.7282,0.9278,-0.4262,1.5080,-0.2262
0.5000,30.0000,3.0000,1.0814,0.9805,0.7298,0.9344,-0.3766,1.5062,-0.2422
0.6000,10.0000,3.0000,1.0814,0.9621,0.8100,0.9585,-0.4299,1.5040,-0.2155
0.8000,70.0000,5.0000,0.9009,0.8323,0.6908,0.6196,-0.4104,1.4917,-0.2191
0.7000,30.0000,5.0000,0.9616,0.8713,0.7465,0.8801,-0.3819,1.4882,-0.2756
0.7000,30.0000,3.0000,1.0751,0.9482,0.7705,0.9028,-0.3908,1.4862,-0.2445
0.5000,30.0000,5.0000,0.9669,0.8569,0.7253,0.9077,-0.3963,1.4855,-0.2893
0.7000,60.0000,5.0000,0.9021,0.8497,0.7503,0.6824,-0.4612,1.4850,-0.2090
0.8000,80.0000,5.0000,0.9027,0.8265,0.6533,0.5921,-0.3803,1.4805,-0.2047
0.8000,20.0000,5.0000,0.9498,0.8181,0.6555,0.8041,-0.4238,1.4784,-0.2072
0.5000,10.0000,5.0000,0.9609,0.8829,0.7725,0.9255,-0.4445,1.4754,-0.2077
0.7000,20.0000,5.0000,0.9596,0.8649,0.6876,0.8283,-0.4112,1.4747,-0.2206
0.7000,20.0000,3.0000,1.0567,0.9016,0.7609,0.8340,-0.4075,1.4725,-0.1945
0.8000,20.0000,3.0000,1.0398,0.8908,0.7269,0.8003,-0.4157,1.4639,-0.1978
0.5000,70.0000,3.0000,0.9417,0.8661,0.6402,0.6457,-0.5258,1.4625,-0.2729
0.7000,70.0000,3.0000,0.9674,0.8956,0.6543,0.6588,-0.4854,1.4604,-0.2223
0.4000,20.0000,5.0000,0.9660,0.9131,0.6782,0.8990,-0.4183,1.4578,-0.2566
0.4000,10.0000,3.0000,1.0255,0.9158,0.7976,0.9026,-0.4551,1.4568,-0.2266
0.6000,80.0000,5.0000,0.8787,0.8366,0.6129,0.5945,-0.4336,1.4514,-0.2203
0.7000,10.0000,5.0000,0.9563,0.8458,0.7149,0.8698,-0.4209,1.4371,-0.2076
0.6000,70.0000,5.0000,0.8505,0.7852,0.5836,0.6007,-0.4663,1.4366,-0.2425
0.8000,10.0000,5.0000,0.9630,0.8853,0.6605,0.8558,-0.4325,1.4316,-0.1979
0.4000,60.0000,3.0000,0.9331,0.8939,0.6380,0.6471,-0.5610,1.4290,-0.2879
0.4000,30.0000,5.0000,0.9460,0.8199,0.6950,0.8761,-0.4254,1.4251,-0.3547
0.5000,80.0000,5.0000,0.8696,0.8135,0.6510,0.5853,-0.4631,1.4244,-0.2433
0.4000,80.0000,3.0000,0.9129,0.8472,0.6585,0.5863,-0.5233,1.4236,-0.2691
0.6000,10.0000,5.0000,0.9556,0.8863,0.6989,0.9089,-0.4316,1.4213,-0.1964
0.4000,50.0000,5.0000,0.8985,0.8174,0.6744,0.7016,-0.5136,1.4174,-0.2643
0.4000,50.0000,3.0000,0.9765,0.9396,0.6937,0.7215,-0.5095,1.4093,-0.2808
0.7000,80.0000,5.0000,0.8762,0.8024,0.6603,0.5778,-0.4098,1.4093,-0.2152
0.4000,60.0000,5.0000,0.8632,0.7680,0.6583,0.6230,-0.5127,1.4081,-0.2778
0.4000,10.0000,5.0000,0.9375,0.8480,0.7397,0.8738,-0.4628,1.4014,-0.2296
0.5000,70.0000,5.0000,0.8372,0.7662,0.6126,0.5841,-0.4906,1.3981,-0.2672
0.4000,30.0000,3.0000,1.0295,0.8956,0.7060,0.8712,-0.4369,1.3951,-0.3267
0.4000,20.0000,3.0000,1.0273,0.9537,0.7350,0.8778,-0.4288,1.3907,-0.2308
0.7000,70.0000,5.0000,0.8529,0.7612,0.6642,0.5873,-0.4653,1.3697,-0.2143
0.3000,10.0000,5.0000,0.9202,0.8338,0.7087,0.8487,-0.4987,1.3483,-0.2542
0.4000,70.0000,3.0000,0.8914,0.8084,0.6174,0.5691,-0.5671,1.3405,-0.3075
0.3000,30.0000,5.0000,0.8995,0.8585,0.5750,0.8105,-0.4895,1.3387,-0.3508
0.4000,80.0000,5.0000,0.8442,0.7938,0.6131,0.5381,-0.4915,1.3382,-0.2696
0.3000,20.0000,5.0000,0.9122,0.9073,0.5782,0.8331,-0.4500,1.3279,-0.2751
0.4000,70.0000,5.0000,0.8153,0.7172,0.5747,0.5341,-0.5222,1.3039,-0.2975
0.3000,10.0000,3.0000,0.9701,0.9026,0.7212,0.8219,-0.5204,1.2983,-0.2680
0.3000,50.0000,5.0000,0.8425,0.8285,0.5695,0.6487,-0.5571,1.2931,-0.2774
0.3000,60.0000,5.0000,0.8129,0.7696,0.5351,0.5746,-0.5714,1.2644,-0.3000
0.3000,30.0000,3.0000,0.9473,0.8748,0.6463,0.7512,-0.4886,1.2356,-0.3396
0.3000,70.0000,5.0000,0.7891,0.7297,0.4775,0.5122,-0.5491,1.2269,-0.3102
0.3000,80.0000,3.0000,0.8344,0.8133,0.4816,0.4928,-0.5680,1.2205,-0.3023
0.3000,80.0000,5.0000,0.8100,0.7996,0.4929,0.5095,-0.5365,1.2164,-0.2963
0.6000,50.0000,10.0000,0.9030,0.8784,0.5973,0.9172,-0.3822,1.2111,-0.2149
0.3000,60.0000,3.0000,0.8432,0.7649,0.4582,0.5422,-0.6115,1.2094,-0.3238
0.3000,50.0000,3.0000,0.8919,0.7943,0.5544,0.6216,-0.5656,1.2071,-0.3109
0.7000,50.0000,10.0000,0.9035,0.8599,0.5889,0.8912,-0.3822,1.2045,-0.1914
0.8000,50.0000,10.0000,0.9031,0.8842,0.5780,0.8754,-0.3616,1.1891,-0.1830
0.3000,20.0000,3.0000,0.9372,0.8979,0.6651,0.7463,-0.4841,1.1834,-0.2714
0.6000,60.0000,10.0000,0.8713,0.8865,0.5927,0.8441,-0.4094,1.1798,-0.2487
0.6000,30.0000,10.0000,0.9154,0.8565,0.5724,1.0427,-0.3984,1.1614,-0.1987
0.5000,50.0000,10.0000,0.8684,0.8815,0.5939,0.8672,-0.4436,1.1609,-0.2287
0.8000,60.0000,10.0000,0.8648,0.8806,0.5757,0.7930,-0.4030,1.1564,-0.2274
0.3000,70.0000,3.0000,0.8153,0.7270,0.4469,0.4767,-0.5999,1.1543,-0.3408
0.6000,20.0000,10.0000,0.9068,0.8964,0.5526,0.9882,-0.4113,1.1532,-0.2320
0.7000,60.0000,10.0000,0.8643,0.8636,0.5852,0.8081,-0.4178,1.1515,-0.2270
0.5000,20.0000,10.0000,0.9104,0.9069,0.5444,0.9905,-0.4182,1.1398,-0.2109
0.7000,20.0000,10.0000,0.8785,0.8464,0.5444,0.8906,-0.4273,1.1378,-0.1974
0.7000,30.0000,10.0000,0.8888,0.8199,0.5717,0.9753,-0.4182,1.1334,-0.2219
0.8000,30.0000,10.0000,0.8833,0.8490,0.5565,0.9505,-0.3850,1.1305,-0.1821
0.5000,60.0000,10.0000,0.8474,0.8457,0.5830,0.7893,-0.4584,1.1290,-0.2581
0.8000,20.0000,10.0000,0.8713,0.8478,0.5290,0.8602,-0.4072,1.1243,-0.1861
0.5000,30.0000,10.0000,0.8942,0.8173,0.5587,0.9864,-0.4169,1.1098,-0.2395
0.4000,50.0000,10.0000,0.8546,0.8315,0.5624,0.8145,-0.4769,1.1056,-0.2608
0.8000,70.0000,10.0000,0.8320,0.8103,0.5718,0.7010,-0.3977,1.0947,-0.2288
0.4000,20.0000,10.0000,0.8829,0.8989,0.5269,0.9383,-0.4424,1.0938,-0.2343
0.4000,30.0000,10.0000,0.8777,0.8093,0.5413,0.9508,-0.4421,1.0932,-0.3132
0.6000,70.0000,10.0000,0.8231,0.8271,0.5851,0.7240,-0.4475,1.0837,-0.2532
0.6000,10.0000,10.0000,0.8865,0.8162,0.5745,0.9736,-0.4686,1.0783,-0.2776
0.4000,60.0000,10.0000,0.8386,0.7827,0.5425,0.7295,-0.4877,1.0779,-0.2903
0.7000,10.0000,10.0000,0.8715,0.8025,0.5730,0.9167,-0.4856,1.0764,-0.2789
0.8000,10.0000,10.0000,0.8843,0.8476,0.5602,0.9196,-0.4607,1.0755,-0.2752
0.5000,10.0000,10.0000,0.8839,0.8404,0.5733,0.9723,-0.4596,1.0715,-0.2692
0.3000,30.0000,10.0000,0.8320,0.8346,0.5315,0.8849,-0.4862,1.0643,-0.3229
0.6000,80.0000,10.0000,0.8550,0.8455,0.6602,0.7053,-0.4073,1.0627,-0.2381
0.8000,80.0000,10.0000,0.8454,0.7854,0.6481,0.6670,-0.3677,1.0613,-0.2180
0.3000,50.0000,10.0000,0.8030,0.8279,0.5427,0.7520,-0.5209,1.0544,-0.2649
0.4000,10.0000,10.0000,0.8640,0.8019,0.5576,0.9232,-0.4667,1.0515,-0.2652
0.7000,70.0000,10.0000,0.8167,0.7966,0.5831,0.6990,-0.4372,1.0486,-0.2481
0.5000,70.0000,10.0000,0.8087,0.7864,0.5766,0.6906,-0.4728,1.0453,-0.2878
0.5000,80.0000,10.0000,0.8482,0.7889,0.7091,0.6888,-0.4339,1.0415,-0.2443
0.7000,80.0000,10.0000,0.8433,0.7827,0.6547,0.6741,-0.4016,1.0414,-0.2248
0.3000,10.0000,10.0000,0.8591,0.7774,0.5551,0.9219,-0.4855,1.0412,-0.2856
0.3000,20.0000,10.0000,0.8429,0.8735,0.5348,0.8840,-0.4902,1.0377,-0.2647
0.3000,60.0000,10.0000,0.7930,0.7685,0.4998,0.6725,-0.5444,1.0148,-0.2950
0.4000,80.0000,10.0000,0.8319,0.7539,0.6588,0.6394,-0.4586,1.0034,-0.2743
0.4000,70.0000,10.0000,0.7896,0.7149,0.5380,0.6243,-0.4994,0.9931,-0.3044
0.3000,70.0000,10.0000,0.7623,0.6975,0.5365,0.5942,-0.5382,0.9701,-0.3009
0.3000,80.0000,10.0000,0.7978,0.7389,0.5911,0.5994,-0.5232,0.9569,-0.2864
